month,country,location_name,latitude,longitude,temperature_celsius,wind_mph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_mph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination,last_updated_epoch
2024-05,Afghanistan,Kabul,34.52,69.18,-0.3111075576973933,-0.20082842273282475,-0.4179830498092598,-0.5697115964555488,0.05247265356237536,-1.0784333354812299,-0.22428906955352476,-0.3650120541642381,0.1194710668977309,-0.026538716264883133,-0.20695375543606892,2.597772981238781,0.5547138100664315,0.1865852613916325,-0.4887871209601568,-0.6273972741273485,-0.40234528497365585,-0.80552049924787,-0.6402614194424222,0.8236206260584559,1716477935.2941177
2024-05,Albania,Tirana,41.33,19.82,0.313008955842857,-0.00940370876936546,1.1368872350696257,-0.24588226911284738,0.7564635586036143,-0.2735273890049869,-0.032552807112605275,0.3199342340136038,0.2934435787951633,0.43452488020777197,0.037879831776536164,-0.6614643978462782,0.9098518901556512,-0.5163418097376882,-0.4961487156188377,-0.5273539080691004,-0.28503543291733835,-0.40443951723165333,-0.4570218215057952,0.8236206260584559,1716477988.235294
2024-05,Algeria,Algiers,36.76,3.05,0.3679971949212932,1.1472167015038253,0.11176096990085765,-0.0839676054414967,-0.3561529821713406,-0.7623071329376903,-0.3811641933688225,0.37026390214829324,0.2934435787951633,0.5991904503765774,0.9703687650231007,-0.5669862694234871,1.8162065779434882,-0.1104984756534387,-0.3430888933404294,-0.5942145735040681,-0.3925855691106509,-0.6718268385757977,-0.6402614194424222,0.8236206260584559,1716477988.235294
2024-05,Andorra,Andorra La Vella,42.5,1.52,-1.2321605622611986,-0.4003252631887191,0.6558223955490865,-0.1350985518640285,0.9696595424646837,-0.13491820788974268,0.9348437897483975,-1.2373929684988543,0.01677164373139256,-0.19120428643368856,-0.5366394161952809,-0.7855011527744619,0.258968810954332,-0.6674502764204403,-0.5120988373793132,-0.9205936736643925,-0.6684666462282675,-0.80552049924787,-0.686071318926579,0.8236206260584559,1716477935.2941177
2024-05,Angola,Luanda,-8.84,13.23,0.7151104541039214,0.7828178484167583,0.9289985008482498,-0.6464080160893465,-0.3583737736698934,0.23227453506467627,-0.551983772634369,0.9348817883489468,0.20645732284644708,1.1590533889505157,0.9624138831281063,0.7539715456690829,1.0139977051734033,-0.0796992977308395,-0.20781959148716675,0.5554616675472566,0.8342397041241164,0.7159742665344105,0.619510816371889,0.8236206260584559,1716477988.235294
2024-05,Antigua and Barbuda,Saint John's,17.12,-61.85,0.7529148684703462,0.3734457191575531,-0.6900137626333743,0.2739490195162259,0.010277615089872088,0.3587250160820921,0.22890573257955768,1.0424831478093173,0.19074415562882496,0.615657007393458,1.268234898202335,-0.5748529303400014,-0.990726701112201,-0.6799624424514963,-0.48786692162782164,-0.8990496814686807,-0.5960901394818244,-0.80552049924787,-0.686071318926579,0.8236206260584559,1716477988.235294
2024-05,Argentina,Buenos Aires,-34.59,-58.67,-1.37100586593425,-0.23427008963005558,-0.10987247402110502,1.2795242991593514,-0.3539321906727878,0.4754485370212451,0.18532930929753047,-1.362349385936704,-0.05450144499970152,0.08872718285328064,-0.28827032591823376,0.5999695376274962,-1.712596716138914,0.4387535306329132,-0.0685627591937852,-0.7326409141638719,-0.5411071857585587,-0.80552049924787,-0.6631663691845007,0.8236206260584559,1716477935.2941177
2024-05,Armenia,Yerevan,40.18,44.51,-0.016920478627759878,-0.31383819362691523,-0.16370592034840345,-0.058402132230230795,0.014889480084234068,-1.2535186168899595,-0.1911709878591841,-0.11857023088403483,0.2934435787951633,0.3192589810896082,-0.31567047466765896,-0.696449925620121,1.395776788971886,-0.5914148059240236,-0.4906275196248271,-0.8376369221061917,-0.5503837473709199,-0.80552049924787,-0.6631663691845007,0.8236206260584559,1716477935.2941177
2024-05,Australia,Canberra,-35.28,149.22,-2.2320300428374296,-0.823842833158477,-0.17725973130314882,1.7192504383931249,-0.3030020389726435,1.1514722624605065,-0.6222870688627061,-2.0911846873998154,-0.4607272602802063,-0.8004668960582685,-0.43287240125390963,-0.4894373621142075,-1.4867674077843562,-0.14611002512644397,-0.48782602387971785,-0.564564757424759,-0.5035113430017948,-0.5024815350578397,-0.530317660680446,0.8944105719852963,1716461220.0
2024-05,Austria,Vienna,48.2,16.37,-0.2712410843655271,0.4091937079097654,-0.013086809879472723,-0.20327314709407088,0.11465481552185389,-0.13978168792887408,0.40321142570766627,-0.2545181850409545,0.032484810949014654,0.2863258670558471,0.36844936830185854,-0.6523465781358847,1.0847767176910057,-0.5192292326679318,-0.4298943636907091,-0.8673527734106219,-0.6445988262464631,-0.80552049924787,-0.686071318926579,0.8236206260584559,1716477988.235294
2024-05,Azerbaijan,Baku,40.4,49.88,-0.243746964826309,0.9903868153650877,-0.22612981023856865,0.3250799659387577,-0.31395794369883734,-0.5142696509419901,-0.5781296266035852,-0.28228627780492105,-0.011008317025343436,0.4180583231908915,0.9138007159920294,-0.6181586640931398,0.8343901331607482,-0.2824605523879507,-0.4565801443284276,-0.47617363690487624,0.010060240176131012,-0.42042184917820313,-0.27378222356916804,0.8236206260584559,1716477988.235294
